VOTE_COUNTED | Client 123 | Choice 1
VOTE_COUNTED | Client 124 | Choice 1
VOTE_COUNTED | Client 9999 | Choice 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 1 | Choice 1
VOTE_COUNTED | Client 9999 | Choice 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 45 | Choice 2
VOTE_COUNTED | Client 9999 | Choice 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 26 | Choice 1
DUPLICATE_VOTE | Client 9999 | Seq 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 21 | Choice 2
VOTE_COUNTED | Client 23 | Choice 3
VOTE_COUNTED | Client 9999 | Choice 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 12 | Choice 2
DUPLICATE_VOTE | Client 9999 | Seq 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 45 | Choice 2
DUPLICATE_VOTE | Client 9999 | Seq 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
VOTE_COUNTED | Client 31 | Choice 2
DUPLICATE_VOTE | Client 9999 | Seq 1
DUPLICATE_VOTE | Client 9999 | Seq 2
DUPLICATE_VOTE | Client 9999 | Seq 3
DUPLICATE_VOTE | Client 9999 | Seq 4
DUPLICATE_VOTE | Client 9999 | Seq 5
DUPLICATE_VOTE | Client 9999 | Seq 6
DUPLICATE_VOTE | Client 9999 | Seq 7
DUPLICATE_VOTE | Client 9999 | Seq 8
DUPLICATE_VOTE | Client 9999 | Seq 9
DUPLICATE_VOTE | Client 9999 | Seq 10
